epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8453312516212463,0.4345485270023346,4e-06,0.8484018445014954,0.4605869650840759
1,0.8675013184547424,0.3713926076889038,4e-06,0.8593607544898987,0.4261460602283478
2,0.8802816867828369,0.3309071958065033,4e-06,0.8639269471168518,0.40334972739219666
3,0.8974961042404175,0.30472108721733093,4e-06,0.8684931397438049,0.38114216923713684
4,0.9118413925170898,0.2662861943244934,4e-06,0.877625584602356,0.3615419566631317
5,0.9170579314231873,0.24939370155334473,4e-06,0.8831050395965576,0.3422453999519348
6,0.9269692301750183,0.22457069158554077,4e-06,0.8858447670936584,0.3288644850254059
7,0.928012490272522,0.21513831615447998,4e-06,0.889497697353363,0.3190777599811554
8,0.9376630187034607,0.194054514169693,4e-06,0.8968036770820618,0.3056565225124359
9,0.9434011578559875,0.17465274035930634,4e-06,0.9022831320762634,0.2954670190811157
10,0.9517475366592407,0.15150809288024902,4e-06,0.9105022549629211,0.2849329113960266
11,0.9501825571060181,0.14936406910419464,4e-06,0.9105022549629211,0.2762480676174164
12,0.9574856758117676,0.13504481315612793,4e-06,0.9095890522003174,0.27122023701667786
13,0.9593114256858826,0.12636461853981018,8e-07,0.9114155173301697,0.2703476846218109
14,0.9598330855369568,0.12331201136112213,8e-07,0.9114155173301697,0.2691611647605896
15,0.9660928249359131,0.1146172359585762,8e-07,0.9114155173301697,0.26743561029434204
16,0.9629629850387573,0.11767319589853287,1.6e-07,0.9114155173301697,0.26704850792884827
17,0.9653103947639465,0.11918050795793533,1.6e-07,0.9105022549629211,0.2670806050300598
18,0.9668753147125244,0.11104119569063187,1e-07,0.9105022549629211,0.26689964532852173
19,0.9632238149642944,0.11493347585201263,1e-07,0.9105022549629211,0.2668139934539795
